marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop,morbidezza_intersuola,morbidezza_intersuola_2,rocker,piastra,larghezza_mesopiede,larghezza_dita,altezza_dita,test_trazione,traspirab,rigidezza_torsionale,rigidezza_tallone,larghezza_suola_mesop,larghezza_suola_tallone,resistenza_tomaia,resistenza_tendach,resistenza_suola,spessore_suola,spessore_soletta,soletta_rimovibile,variazrigidezza_temp,elementi_catarinfr,spessore_linguetta,tipo_linguetta, prezzo ,anello_tallone
new balance,FC SC Trainer,3.0,tempo,144,118,0.66,0.65,25.1,278,36.8,29.5,7.3,8.8,,5x9,carbonio,95.9,73.5,25.9,0.51,4.0,5.0,3.0,117.7,90.0,1.0,4.0,1.1,3.0,2.9,y,0.27,n,3.3,semi integr,250.0,n
new balance,FF X 1080,14.0,daily tr,142,128,0.58,0.59,15.8,285,37.0,32.8,4.2,11.9,,5x9,#N/D,95.4,69.8,27.0,0.52,4.0,4.0,4.0,118.8,94.6,4.0,3.0,0.6,3.6,3.9,y,0.26,y,8.9,std,190.0,n
new balance,FF X 880,15.0,daily tr,128,114,0.56,0.6,19.2,286,39.7,35.4,4.3,19.6,,"4,5x9,5",#N/D,95.0,74.6,28.5,0.52,3.0,5.0,4.0,113.3,89.2,3.0,4.0,1.1,1.9,4.7,y,0.2,n,7.1,semi integr,160.0,n
new balance,FF X More,6.0,daily tr,152,144,0.6,0.59,17.7,302,41.8,38.5,3.3,9.5,,"4,5x9",#N/D,93.5,71.3,24.4,0.44,2.0,3.0,3.0,122.5,102.0,3.0,4.0,0.8,1.9,3.5,y,0.68,y,7.4,semi integr,170.0,n
nike,VaporFly,4.0,race,137,94,0.78,0.75,18.0,166,34.1,25.5,8.6,19.9,20.0,"3,5x8,5",carbonio,91.7,73.2,27.3,0.45,4.0,4.0,2.0,110.6,77.0,4.0,3.0,2.0,2.3,2.9,y,0.01,n,2.5,std,260.0,y/n
nike,StreakFly,2.0,race,106,82,0.76,0.78,7.0,128,27.0,23.3,3.7,16.4,17.4,5x9,carbonio,89.7,66.7,23.1,0.49,5.0,2.0,1.0,102.2,70.8,1.0,4.0,1.7,2.4,3.0,n,0.2,n,0.4,std,180.0,y/n
nike,AlphaFly,3.0,race,144,113,0.75,0.74,28.4,201,38.1,29.6,8.5,18.1,29.3,5x9,airzoom+carbonio,93.3,75.3,33.0,0.4,5.0,4.0,1.0,117.5,91.9,1.0,5.0,3.2,1.9,1.9,y,0.17,n,2.8,calzino,310.0,y
nike,Pegasus plus,,daily tr,125,79,0.64,0.71,10.5,244,33.0,23.6,9.4,12.3,,3x8,#N/D,93.9,71.6,29.3,0.42,3.0,3.0,4.0,116.5,89.5,3.0,5.0,1.2,2.7,4.4,y,0.26,y,2.8,std,180.0,n
nike,ZoomFly,6.0,tempo,144,111,0.61,0.67,21.5,248,39.7,30.1,9.6,16.1,16.1,4x9,carbonio,90.9,72.6,24.5,0.42,3.0,5.0,4.0,111.9,87.9,5.0,5.0,0.8,3.2,3.0,y,0.06,n ,6.1,semi integr,170.0,n
nike,Pegasus,41.0,daily tr,125,92,0.56,0.61,9.4,281,33.6,22.2,11.4,15.8,,3x8,airzoom,94.6,72.9,26.4,0.25,4.0,2.0,4.0,115.6,89.2,3.0,4.0,0.9,3.0,5.1,y,0.37,y,6.6,std,150.0,n
